chain_id,iid,ula,uhmc_5,uhmc_10,uhmc_random,hmc_5,hmc_10,hmc_random,nuts
0,0.1477,0.11575,0.1411,0.1425,0.13095,0.12895,0.1402,0.1405,0.15085
1,0.14775,0.09985,0.1329,0.13395,0.1288,0.14395,0.1358,0.19775,0.1375
2,0.14865,0.1615,0.1619,0.1511,0.1349,0.13735,0.1361,0.12165,0.14385
3,0.1496,0.10225,0.1423,0.1313,0.13735,0.1134,0.13585,0.1416,0.13715
4,0.1481,0.1549,0.1508,0.14335,0.14875,0.146,0.15075,0.1449,0.1413
5,0.1465,0.09295,0.18035,0.15385,0.14925,0.1391,0.1511,0.13725,0.1426
6,0.14455,0.10515,0.1375,0.14845,0.14715,0.1527,0.13755,0.1736,0.15705
7,0.15115,0.13005,0.15345,0.16685,0.152,0.16005,0.1336,0.1428,0.1402
8,0.14605,0.1769,0.12725,0.13915,0.1496,0.1375,0.13495,0.13925,0.1427
9,0.1496,0.45755,0.1232,0.1644,0.1594,0.1293,0.15125,0.1467,0.1505
10,0.15045,0.1587,0.1304,0.1535,0.1414,0.13455,0.14405,0.13105,0.15005
11,0.1513,0.14135,0.1369,0.1453,0.14685,0.14015,0.1406,0.1265,0.1398
12,0.1495,0.10995,0.12905,0.15065,0.14835,0.1379,0.13715,0.1485,0.148
13,0.1525,0.14435,0.1304,0.13935,0.15925,0.13565,0.15495,0.14925,0.14595
14,0.1482,0.18325,0.1598,0.1457,0.1494,0.12975,0.1282,0.1382,0.1645
15,0.14745,0.32335,0.2216,0.1418,0.134,0.16215,0.13495,0.13325,0.1441
16,0.1476,0.15625,0.1348,0.1522,0.15175,0.15195,0.14025,0.1707,0.1461
17,0.1476,0.19175,0.12965,0.1432,0.14015,0.15555,0.1347,0.15485,0.1575
18,0.14845,0.11045,0.16075,0.1522,0.1367,0.1744,0.13845,0.1437,0.13855
19,0.1428,0.25515,0.13855,0.14225,0.15575,0.2484,0.1367,0.1241,0.1421
20,0.14995,0.14005,0.15285,0.147,0.14755,0.15875,0.14,0.0242,0.1374
21,0.1479,0.09135,0.133,0.1648,0.1814,0.12975,0.1422,0.1396,0.14505
22,0.1449,0.10955,0.15555,0.1395,0.1681,0.1658,0.13895,0.1461,0.1491
