chain_id,iid,ula,uhmc_5,uhmc_10,uhmc_random,hmc_5,hmc_10,hmc_random,nuts
0,0.11205,0.13325,0.1122,0.11595,0.1127,0.11415,0.10695,0.11385,0.1093
1,0.1144,0.13585,0.11045,0.1153,0.1164,0.1227,0.1115,0.12555,0.11105
2,0.11685,0.11455,0.10705,0.10925,0.1183,0.1333,0.11035,0.11155,0.11155
3,0.11315,0.08245,0.11595,0.1081,0.12115,0.1013,0.1198,0.1167,0.12065
4,0.1151,0.16695,0.11265,0.1143,0.1147,0.1233,0.10365,0.11055,0.10375
5,0.1126,0.05835,0.11935,0.11635,0.1071,0.1104,0.1045,0.09735,0.11415
6,0.1121,0.25535,0.1001,0.12295,0.10455,0.1148,0.11345,0.1121,0.10265
7,0.1129,0.1422,0.10955,0.11335,0.10535,0.10795,0.112,0.10545,0.10775
8,0.11855,0.10465,0.10585,0.1254,0.11795,0.1075,0.1141,0.10495,0.1127
9,0.11125,0.0704,0.12185,0.10825,0.1146,0.10785,0.1186,0.09615,0.118
10,0.11035,0.07205,0.11695,0.11205,0.1379,0.1047,0.108,0.1143,0.11665
11,0.11295,0.1073,0.11105,0.11455,0.1177,0.15385,0.1186,0.10855,0.1105
12,0.1145,0.1141,0.10825,0.1126,0.1034,0.1197,0.10855,0.19665,0.11865
13,0.11225,0.08675,0.1526,0.1161,0.1195,0.0981,0.115,0.12165,0.1076
14,0.1095,0.1102,0.13865,0.1186,0.12645,0.1041,0.10785,0.10495,0.12205
15,0.11265,0.0716,0.109,0.116,0.11175,0.10825,0.11205,0.10765,0.1166
16,0.1095,0.13685,0.11785,0.11425,0.10685,0.1034,0.099,0.0971,0.116
17,0.1088,0.10705,0.1102,0.12155,0.11885,0.10475,0.10695,0.10625,0.11105
18,0.10925,0.10805,0.1128,0.11375,0.12005,0.1024,0.10555,0.10465,0.1178
19,0.1112,0.08065,0.1093,0.1236,0.11025,0.1083,0.10665,0.10195,0.11615
20,0.1076,0.11865,0.12415,0.11255,0.11155,0.10415,0.1078,0.1292,0.11395
21,0.1149,0.0559,0.1494,0.11615,0.1151,0.109,0.10265,0.10045,0.1109
22,0.1092,0.2217,0.1327,0.1033,0.1137,0.11105,0.1144,0.10325,0.10625
23,0.11325,0.1278,0.10915,0.11115,0.10965,0.11515,0.10785,0.12015,0.1103
24,0.11425,0.1198,0.1093,0.1173,0.13435,0.12135,0.109,0.1224,0.11465
25,0.1145,0.09305,0.12885,0.12685,0.10525,0.10365,0.11985,0.10295,0.11385
26,0.11035,0.09705,0.12335,0.1233,0.11765,0.10965,0.11005,0.1121,0.1163
