case,method,chains,iterations,burn_in,retained,target_mean,mean_of_chain_means,sd_of_chain_means
t3_abs,iid,2000,30000,10000,20000,1.1026577908435842,1.1027903552771927,0.009109762415872252
t3_abs,ula,2000,30000,10000,20000,1.1026577908435842,1.1210765184954035,0.19242676573016387
t3_abs,uhmc_5,2000,30000,10000,20000,1.1026577908435842,1.124518071191688,0.17958185441700816
t3_abs,uhmc_10,2000,30000,10000,20000,1.1026577908435842,1.1283773614746178,0.040918889127110475
t3_abs,uhmc_random,2000,30000,10000,20000,1.1026577908435842,1.1213280161511165,0.04263351842633963
t3_abs,hmc_5,2000,30000,10000,20000,1.1026577908435842,1.100830968649206,0.05293895965261457
t3_abs,hmc_10,2000,30000,10000,20000,1.1026577908435842,1.1021651123919127,0.04031520411895829
t3_abs,hmc_random,2000,30000,10000,20000,1.1026577908435842,1.1008812907569576,0.044164591442549264
t3_abs,nuts,2000,30000,10000,20000,1.1026577908435842,1.1022776249630895,0.02769095922845168
t1_tail,iid,2000,30000,10000,20000,0.1475836176504332,0.147668675,0.0025443337657490546
t1_tail,ula,2000,30000,10000,20000,0.1475836176504332,0.1526486,0.09780266443776243
t1_tail,uhmc_5,2000,30000,10000,20000,0.1475836176504332,0.14963457500000002,0.0403909553979397
t1_tail,uhmc_10,2000,30000,10000,20000,0.1475836176504332,0.150309275,0.02449517803768578
t1_tail,uhmc_random,2000,30000,10000,20000,0.1475836176504332,0.150856075,0.03580270633953518
t1_tail,hmc_5,2000,30000,10000,20000,0.1475836176504332,0.145539025,0.030093537741619512
t1_tail,hmc_10,2000,30000,10000,20000,0.1475836176504332,0.1477809,0.032088642744538036
t1_tail,hmc_random,2000,30000,10000,20000,0.1475836176504332,0.14544289999999999,0.027043395768973962
t1_tail,nuts,2000,30000,10000,20000,0.1475836176504332,0.14756395,0.00721133289056394
t1p5_tail,iid,2000,30000,10000,20000,0.11209416517802553,0.112035575,0.002238348894221169
t1p5_tail,ula,2000,30000,10000,20000,0.11209416517802553,0.1129093,0.05136013386066174
t1p5_tail,uhmc_5,2000,30000,10000,20000,0.11209416517802553,0.1145989,0.012799768487229109
t1p5_tail,uhmc_10,2000,30000,10000,20000,0.11209416517802553,0.11513807500000002,0.008217279865537578
t1p5_tail,uhmc_random,2000,30000,10000,20000,0.11209416517802553,0.11449755,0.011037872363397545
t1p5_tail,hmc_5,2000,30000,10000,20000,0.11209416517802553,0.11248882499999999,0.017877081596070744
t1p5_tail,hmc_10,2000,30000,10000,20000,0.11209416517802553,0.1121379,0.008205966276512818
t1p5_tail,hmc_random,2000,30000,10000,20000,0.11209416517802553,0.11186189999999999,0.010840261252479621
t1p5_tail,nuts,2000,30000,10000,20000,0.11209416517802553,0.11200065000000001,0.005161773099261932
