case,method,n,target_mean,grand_mean,target_error,root_n_iqr_scale,root_n_sd
t3_abs,iid,250,1.1026577908435842,1.0957907866872725,-0.006867004156311696,1.1031951652652634,1.2239005237640443
t3_abs,iid,1000,1.1026577908435842,1.098563271324049,-0.004094519519535211,1.4412529382718942,1.2974426865364457
t3_abs,iid,4000,1.1026577908435842,1.101099501986117,-0.0015582888574672271,1.2626749327516884,1.2568087930817984
t3_abs,ula,250,1.1026577908435842,1.255792818525359,0.1531350276817749,5.3281557397492305,29.91903803574258
t3_abs,ula,1000,1.1026577908435842,1.2215919797933465,0.11893418894976238,7.8872419465581025,38.59340935529854
t3_abs,ula,4000,1.1026577908435842,1.1341154870899506,0.03145769624636641,7.730864836501013,20.748885956335652
t3_abs,uhmc_5,250,1.1026577908435842,1.1118955976252267,0.009237806781642544,2.086866169588772,3.010447466564547
t3_abs,uhmc_5,1000,1.1026577908435842,1.0978370406127687,-0.004820750230815518,2.444442247726015,2.7449496260323114
t3_abs,uhmc_5,4000,1.1026577908435842,1.1283444534512737,0.02568666260768948,2.93390255244724,10.207578823491717
t3_abs,uhmc_10,250,1.1026577908435842,1.0940898916231387,-0.00856789922044543,2.9114656972606676,3.120532246425417
t3_abs,uhmc_10,1000,1.1026577908435842,1.118792480207751,0.016134689364166732,3.524485809433499,3.495037198171662
t3_abs,uhmc_10,4000,1.1026577908435842,1.1233589886793245,0.020701197835740315,4.091167694705731,3.4270472799740634
t3_abs,uhmc_random,250,1.1026577908435842,1.1093973943967796,0.006739603553195472,2.578120532532694,4.295998086963014
t3_abs,uhmc_random,1000,1.1026577908435842,1.123230267837151,0.0205724769935669,2.743958402734154,7.165491265318783
t3_abs,uhmc_random,4000,1.1026577908435842,1.1315183179039208,0.028860527060336594,3.7862570297306077,6.535865545114833
t3_abs,hmc_5,250,1.1026577908435842,1.112018429711344,0.00936063886775984,2.031132776719948,5.35082603379582
t3_abs,hmc_5,1000,1.1026577908435842,1.1118670936619326,0.00920930281834842,2.839265673778153,5.237762323766532
t3_abs,hmc_5,4000,1.1026577908435842,1.0904394083597049,-0.012218382483879298,3.5587751060524995,4.191808646025097
t3_abs,hmc_10,250,1.1026577908435842,1.1482358241706958,0.04557803332711163,2.7090081560571844,4.332844236511351
t3_abs,hmc_10,1000,1.1026577908435842,1.1293850717865415,0.026727280942957288,2.835104432423501,5.177077989702702
t3_abs,hmc_10,4000,1.1026577908435842,1.099543168422611,-0.0031146224209732676,2.866793742649295,3.740398043719308
t3_abs,hmc_random,250,1.1026577908435842,1.0519873000957503,-0.05067049074783392,2.181041662845691,2.5169050837010882
t3_abs,hmc_random,1000,1.1026577908435842,1.0965631896867287,-0.00609460115685545,3.0326987438875888,4.3510971060624595
t3_abs,hmc_random,4000,1.1026577908435842,1.105504454117673,0.0028466632740888898,3.447566419033486,5.1685549576069825
t3_abs,nuts,250,1.1026577908435842,1.1141126295520172,0.011454838708433002,2.7772865448346264,3.4844754002460605
t3_abs,nuts,1000,1.1026577908435842,1.1074814846438263,0.004823693800242168,3.8055664842891663,4.282516025981148
t3_abs,nuts,4000,1.1026577908435842,1.1118844587188863,0.00922666787530213,3.9155702822179075,4.026518605070313
t1_tail,iid,250,0.2951672353008664,0.29209375,-0.00307348530086643,0.5157239861945975,0.48501740166849666
t1_tail,iid,1000,0.2951672353008664,0.2960390625,0.0008718271991335902,0.445397988077153,0.47670790911231614
t1_tail,iid,4000,0.2951672353008664,0.2946484375,-0.0005187978008663885,0.46883998744963473,0.4327600374341424
t1_tail,ula,250,0.2951672353008664,0.3165,0.02133276469913359,4.711841873868824,4.888456594265285
t1_tail,ula,1000,0.2951672353008664,0.32227343750000004,0.027106202199133622,5.227565860063422,7.242184725884764
t1_tail,ula,4000,0.2951672353008664,0.30951171875,0.014344483449133583,6.1564550851980115,10.35926054184937
t1_tail,uhmc_5,250,0.2951672353008664,0.31174999999999997,0.016582764699133556,1.5237299592113112,2.3447142767019775
