chain_id,ula,uhmc_10,uhmc_uniform_19,hmc_5,hmc_10,hmc_20,hmc_uniform_9,hmc_uniform_19,hmc_uniform_39,hmc_two_point_9,hmc_two_point_39,nuts
0,0.11575,0.1425,0.1427,0.12895,0.1402,0.14885,0.1541,0.13915,0.15855,0.22895,0.1361,0.1466
1,0.09985,0.13395,0.14175,0.14395,0.1358,0.1448,0.14025,0.1449,0.1406,0.1643,0.14765,0.14045000000000002
2,0.1615,0.1511,0.14445,0.13735,0.1361,0.15485,0.14515,0.15115,0.14155,0.14335,0.1418,0.1454
3,0.10225,0.1313,0.14135,0.1134,0.13585,0.1349,0.12995,0.13545,0.1585,0.12945,0.1437,0.15015
4,0.1549,0.14335,0.13135,0.146,0.15075,0.1381,0.131,0.1366,0.1434,0.1431,0.1459,0.1549
5,0.09295,0.15385,0.13135,0.1391,0.1511,0.1521,0.14965,0.1474,0.2046,0.135,0.13015,0.1403
6,0.10515,0.14845,0.1552,0.1527,0.13755,0.13705,0.1506,0.139,0.16,0.19375,0.15285,0.14665
7,0.13005,0.16685,0.1313,0.16005,0.1336,0.14295,0.11855,0.14565,0.14615,0.1369,0.15145,0.14445
8,0.1769,0.13915,0.1754,0.1375,0.13495,0.14035,0.1077,0.139,0.1485,0.13335,0.12355,0.15025
9,0.45755,0.1644,0.15675,0.1293,0.15125,0.1529,0.134,0.17575,0.14545,0.1223,0.156,0.1448
10,0.1587,0.1535,0.1491,0.13455,0.14405,0.15655,0.13125,0.15575,0.1462,0.14955,0.1305,0.14895
11,0.14135,0.1453,0.14505,0.14015,0.1406,0.13595,0.1472,0.1837,0.1314,0.1317,0.1449,0.14535
12,0.10995,0.15065,0.1466,0.1379,0.13715,0.1479,0.143,0.14635,0.1485,0.16,0.15645,0.15115
13,0.14435,0.13935,0.14475,0.13565,0.15495,0.1396,0.135,0.14665,0.1558,0.15445,0.14095,0.14985
14,0.18325,0.1457,0.14565,0.12975,0.1282,0.138,0.135,0.1462,0.1407,0.14425,0.1441,0.1427
15,0.32335,0.1418,0.14045,0.16215,0.13495,0.15025,0.15115,0.1541,0.13555,0.13405,0.1358,0.1481
16,0.15625,0.1522,0.13825,0.15195,0.14025,0.13235,0.1322,0.12815,0.15305,0.1692,0.13435,0.14830000000000002
17,0.19175,0.1432,0.15445,0.15555,0.1347,0.1404,0.1429,0.14475,0.15285,0.1423,0.1541,0.14800000000000002
18,0.11045,0.1522,0.13295,0.1744,0.13845,0.1591,0.1274,0.14285,0.14435,0.1437,0.1539,0.1504
19,0.25515,0.14225,0.14455,0.2484,0.1367,0.14515,0.1729,0.14285,0.1426,0.15505,0.1441,0.15055000000000002
20,0.14005,0.147,0.1369,0.15875,0.14,0.1359,0.13255,0.14705,0.13975,0.1689,0.1398,0.13655
21,0.09135,0.1648,0.14285,0.12975,0.1422,0.1584,0.14575,0.14495,0.1537,0.13,0.14975,0.14705000000000001
22,0.10955,0.1395,0.16975,0.1658,0.13895,0.1489,0.1373,0.1435,0.13455,0.1316,0.14305,0.1449
23,0.29075,0.13665,0.1401,0.157,0.1468,0.14685,0.13755,0.1388,0.14695,0.1328,0.13205,0.14335
24,0.96815,0.1424,0.16475,0.12385,0.1236,0.14215,0.12995,0.1678,0.1648,0.13995,0.14515,0.14275000000000002
25,0.19365,0.1448,0.12475,0.15305,0.16265,0.1482,0.16835,0.1569,0.1422,0.13745,0.13715,0.15410000000000001
26,0.13965,0.25945,0.14945,0.1327,0.1542,0.14685,0.1408,0.13765,0.1617,0.1595,0.13795,0.14195000000000002
27,0.13835,0.13045,0.1588,0.18345,0.14595,0.1477,0.1466,0.1533,0.14395,0.2173,0.1357,0.14725000000000002
28,0.1263,0.14625,0.1472,0.1297,0.14455,0.13635,0.12615,0.14865,0.1457,0.1259,0.1351,0.1474
29,0.1393,0.17425,0.1352,0.1372,0.14025,0.1445,0.13175,0.149,0.1494,0.13395,0.14985,0.13955
30,0.15545,0.1364,0.1648,0.1501,0.1563,0.14525,0.1381,0.15855,0.14255,0.1432,0.15675,0.14215
31,0.0707,0.1476,0.1436,0.1328,0.1432,0.1484,0.30985,0.1407,0.14335,0.13055,0.14005,0.139
32,0.19885,0.1554,0.1585,0.17875,0.14485,0.1495,0.127,0.1412,0.1471,0.14295,0.13465,0.1526
33,0.08165,0.1399,0.1355,0.1704,0.12625,0.1484,0.13655,0.1383,0.13945,0.14835,0.1329,0.14775000000000002
34,0.07825,0.15,0.14225,0.13175,0.22095,0.1454,0.12545,0.1348,0.1712,0.16275,0.1424,0.15130000000000002
35,0.1419,0.1504,0.15235,0.1468,0.13675,0.1631,0.12445,0.14895,0.162,0.15435,0.15955,0.1476
36,0.4531,0.14545,0.1675,0.1328,0.14315,0.1611,0.14305,0.1501,0.13755,0.1286,0.16435,0.14475000000000002
37,0.1437,0.1585,0.15765,0.14565,0.1255,0.13505,0.1243,0.1452,0.16185,0.1448,0.13545,0.1514
38,0.14295,0.16305,0.14175,0.1276,0.15865,0.14725,0.1504,0.12805,0.145,0.1238,0.1311,0.1443
39,0.25,0.1473,0.1474,0.16815,0.13535,0.14015,0.13055,0.14655,0.1313,0.1335,0.1305,0.14215
40,0.1362,0.14895,0.15835,0.1633,0.1446,0.14275,0.18435,0.14715,0.14405,0.1571,0.1434,0.15555
41,0.1563,0.2136,0.13495,0.1384,0.1517,0.13635,0.1461,0.14505,0.1419,0.13095,0.13645,0.153
42,0.0932,0.1573,0.1393,0.14605,0.1307,0.1428,0.1241,0.1283,0.1329,0.15175,0.1445,0.15595
43,0.11285,0.1649,0.1417,0.4211,0.13535,0.15085,0.14345,0.1452,0.1398,0.14455,0.1256,0.14175000000000001
44,0.10985,0.15325,0.1479,0.13545,0.13725,0.12915,0.16995,0.15805,0.1463,0.1206,0.1488,0.1468
45,0.10165,0.1513,0.14145,0.1393,0.15025,0.14225,0.14445,0.14325,0.14035,0.1341,0.14885,0.15155000000000002
46,0.13885,0.14685,0.1426,0.1324,0.13135,0.14975,0.14135,0.14125,0.1357,0.1377,0.15165,0.14780000000000001
47,0.33335,0.1984,0.14865,0.1402,0.13955,0.15235,0.13785,0.1393,0.1501,0.1383,0.1459,0.14615
48,0.10095,0.1816,0.1468,0.14525,0.16165,0.15225,0.14795,0.14345,0.1362,0.1479,0.1502,0.1526
49,0.1927,0.1501,0.15815,0.14585,0.15175,0.15215,0.14065,0.14295,0.14495,0.13855,0.14185,0.14935
50,0.22105,0.14665,0.1537,0.1517,0.1563,0.14035,0.1638,0.12855,0.14705,0.1417,0.1408,0.1456
51,0.087,0.16215,0.144,0.1411,0.13725,0.16975,0.13675,0.14595,0.1696,0.15585,0.14765,0.15085
52,0.3386,0.1297,0.1465,0.13175,0.15775,0.1438,0.17715,0.1465,0.1485,0.1362,0.1582,0.15145
53,0.1858,0.1671,0.1366,0.13535,0.14285,0.1429,0.13795,0.1831,0.1373,0.13405,0.1648,0.14115
54,0.11945,0.15895,0.1396,0.1366,0.1314,0.1491,0.12295,0.15105,0.1585,0.1308,0.1589,0.15615
55,0.08165,0.12415,0.14225,0.12755,0.13705,0.1497,0.1492,0.1542,0.19515,0.1225,0.14745,0.14120000000000002
56,0.18175,0.1468,0.141,0.1197,0.1397,0.13865,0.13975,0.1589,0.1457,0.14945,0.13245,0.14350000000000002
57,0.20335,0.1331,0.1457,0.1466,0.1456,0.14205,0.1219,0.14525,0.1564,0.15225,0.14495,0.14125000000000001
