chain_id,hmc_5,hmc_10,hmc_20,hmc_uniform_9,hmc_uniform_19,hmc_uniform_39,hmc_two_point_9,hmc_two_point_39,nuts
0,0.1659625,0.1488375,0.1438125,0.142325,0.1536125,0.1403875,0.182275,0.1407375,0.1468375
1,0.13745,0.139675,0.1419375,0.1320125,0.170625,0.14475,0.1441,0.1504,0.153
2,0.1434375,0.1537875,0.158475,0.1571375,0.15985,0.1435625,0.1380875,0.145,0.148575
3,0.1378375,0.1400375,0.14145,0.1429125,0.1438875,0.148425,0.1608875,0.15395,0.1484875
4,0.1471,0.1498875,0.13875,0.14245,0.1403375,0.142825,0.1443,0.1483125,0.15085
5,0.1494,0.1362875,0.1431625,0.1593625,0.1402125,0.141575,0.153425,0.1493625,0.14548750000000002
6,0.1458875,0.145825,0.1611375,0.116,0.14075,0.14075,0.141425,0.1583375,0.1526375
7,0.141025,0.14185,0.14255,0.131575,0.1369375,0.1494125,0.1452125,0.1442125,0.14673750000000002
8,0.1421,0.1434625,0.1433875,0.1387,0.1526875,0.161775,0.142125,0.1458875,0.1451125
9,0.1395875,0.1408375,0.1462125,0.13475,0.1496625,0.1450375,0.1443375,0.1456625,0.1464375
10,0.1517875,0.1401625,0.14515,0.15565,0.1430625,0.1505125,0.1537375,0.156925,0.1389125
11,0.1476,0.14415,0.142875,0.1488875,0.1485625,0.1441125,0.132875,0.1472,0.14195000000000002
12,0.1582125,0.138725,0.1538,0.1471,0.15045,0.145375,0.1444375,0.149175,0.14415
13,0.1390375,0.1572,0.1426875,0.13845,0.1457875,0.1426875,0.17445,0.150175,0.14705000000000001
14,0.134625,0.153725,0.1654625,0.1590125,0.1455875,0.1425875,0.1331375,0.1425125,0.1479
15,0.1361625,0.144475,0.151325,0.1276125,0.1481125,0.1480125,0.1559125,0.13735,0.147125
16,0.137925,0.138575,0.1415875,0.1373,0.1486,0.1433875,0.1319625,0.1464875,0.1433625
17,0.1292375,0.141575,0.1442875,0.1443,0.1428625,0.1447,0.13815,0.140425,0.1478125
18,0.133275,0.1417375,0.1465125,0.1417875,0.1514,0.1528,0.1466375,0.146475,0.1534375
19,0.1328,0.1333125,0.1455,0.1508,0.141875,0.143875,0.13595,0.144225,0.1442125
20,0.1500375,0.1448375,0.1456625,0.15175,0.165675,0.149225,0.138975,0.1446875,0.14626250000000002
21,0.1273625,0.1533875,0.1432125,0.1335625,0.1388,0.1434375,0.1316125,0.144275,0.1435375
22,0.1469375,0.144775,0.1469375,0.14165,0.143225,0.13965,0.1360625,0.145725,0.15015
23,0.13795,0.1445125,0.139475,0.1349,0.1404625,0.149,0.14065,0.1476625,0.1497
24,0.155725,0.177175,0.140425,0.142125,0.1384875,0.1423125,0.14805,0.14235,0.14678750000000002
25,0.1272625,0.1433125,0.1481625,0.146625,0.1404375,0.1515375,0.1429125,0.1475875,0.1539125
26,0.14275,0.1529,0.1439125,0.1450125,0.144625,0.13925,0.1554125,0.1494625,0.1494
27,0.140075,0.1503125,0.1459375,0.13825,0.1564,0.146425,0.1410375,0.1608625,0.14447500000000002
28,0.15205,0.1439125,0.14305,0.140575,0.1497875,0.1430375,0.1331875,0.1454,0.14285
29,0.1397875,0.1610375,0.147775,0.1541625,0.1495625,0.1430375,0.158025,0.145375,0.1473125
30,0.1319125,0.145825,0.1509625,0.1383375,0.1474625,0.140275,0.1412375,0.1420875,0.1458625
31,0.1476625,0.1435,0.0390625,0.1339125,0.1419375,0.1442125,0.1555,0.1503875,0.1460875
32,0.2106,0.149075,0.14955,0.1366625,0.155775,0.1407,0.142925,0.1432625,0.1534125
33,0.1649875,0.148625,0.1496875,0.15805,0.143425,0.1422,0.1455625,0.134825,0.143875
34,0.1382,0.1606,0.14795,0.1622625,0.1424375,0.1518875,0.1444,0.1418125,0.14585
35,0.1466375,0.1613,0.1445,0.146125,0.1538625,0.142875,0.13205,0.150925,0.1473125
36,0.143275,0.1589875,0.147675,0.18055,0.1455125,0.13995,0.1536125,0.1547875,0.15711250000000002
37,0.1438125,0.14495,0.1489375,0.1344875,0.1363375,0.14535,0.15005,0.1444625,0.150125
38,0.1355875,0.1398375,0.1421,0.145125,0.1415875,0.140175,0.1409875,0.14315,0.14875
39,0.14485,0.135925,0.149375,0.15125,0.1479125,0.147925,0.1534,0.1450625,0.153725
40,0.1508,0.155,0.139175,0.15665,0.1486875,0.144425,0.145475,0.153175,0.14745
41,0.1508875,0.1487,0.1444,0.146475,0.1464375,0.1512375,0.149875,0.1516125,0.14602500000000002
42,0.1645875,0.1511625,0.142475,0.1413875,0.1459,0.1422375,0.1640375,0.1451125,0.1482
43,0.1464875,0.1545875,0.1386875,0.147275,0.1450375,0.14025,0.1436875,0.145975,0.144425
44,0.1482375,0.1402125,0.143825,0.1478625,0.14465,0.1444125,0.153075,0.1459125,0.150625
45,0.1354125,0.1628875,0.1532625,0.1491875,0.14605,0.14415,0.1431125,0.1437625,0.1429375
46,0.1492,0.14665,0.1537,0.1517625,0.1448,0.1525375,0.1468625,0.145325,0.1468125
47,0.1403625,0.1531625,0.1573625,0.1346,0.1512,0.1547625,0.141475,0.1563125,0.151975
48,0.137575,0.218875,0.1457125,0.2391625,0.17895,0.1461125,0.1458375,0.160325,0.1468
49,0.158775,0.141625,0.1412,0.1477875,0.1720375,0.1519625,0.1601375,0.1378375,0.1470875
50,0.1466,0.14255,0.1496875,0.144925,0.1460875,0.1426375,0.144825,0.1419,0.14673750000000002
51,0.1390875,0.1459375,0.1522125,0.16555,0.141625,0.1435625,0.1423125,0.1385875,0.1512375
52,0.1549,0.136925,0.148125,0.1353375,0.1409625,0.1471375,0.1481375,0.1508875,0.15065
53,0.1447625,0.1451375,0.1489375,0.150625,0.1515625,0.145775,0.1802125,0.145725,0.141375
54,0.16245,0.1503,0.14095,0.129975,0.1406,0.157325,0.1498625,0.1440625,0.1487375
55,0.136375,0.1477125,0.1288125,0.1332625,0.15025,0.145725,0.132125,0.141675,0.1431375
56,0.152325,0.161125,0.1545875,0.15625,0.142725,0.145875,0.150975,0.1545,0.1502
57,0.145175,0.14145,0.149775,0.14485,0.1430375,0.1411125,0.14895,0.1456125,0.1449625
58,0.13765,0.1429375,0.150325,0.14175,0.1555875,0.1458625,0.151875,0.1455125,0.14498750000000002
59,0.1617375,0.1458625,0.1584125,0.150275,0.146225,0.1506125,0.1498,0.1382875,0.1508625
60,0.14285,0.15205,0.1459625,0.146725,0.15805,0.14545,0.211225,0.143725,0.1483625
61,0.1210375,0.1437875,0.14485,0.1301875,0.1393125,0.140975,0.13165,0.15535,0.14375000000000002
62,0.1461625,0.138525,0.1511125,0.1447,0.1378875,0.15045,0.1747875,0.15465,0.1502375
63,0.134675,0.1437375,0.148725,0.1486625,0.14445,0.1457,0.1455375,0.15425,0.14827500000000002
64,0.1445625,0.152175,0.14095,0.1352875,0.1436875,0.1432875,0.134725,0.154425,0.14726250000000002
65,0.1354125,0.142525,0.1425375,0.1507125,0.1544,0.1461875,0.1401,0.14055,0.15
66,0.1485125,0.1507875,0.1545625,0.1427875,0.139325,0.1498125,0.1444125,0.1523875,0.1527375
67,0.1392125,0.152825,0.1623625,0.132725,0.1418625,0.14905,0.1465625,0.1421375,0.15105000000000002
68,0.1387875,0.140525,0.146725,0.1629875,0.1624125,0.1463,0.14115,0.1489,0.1477125
69,0.1385625,0.1459,0.1419375,0.1493875,0.147575,0.150375,0.1370625,0.154075,0.1415125
